"title","artist","link"
"Portrait of a Young Woman (1965)","Irene Scott","https://collections.ed.ac.uk/art/record/21292?highlight=*:*"
"Drawing of a Man's Head (1955)","James Robertson","https://collections.ed.ac.uk/art/record/20804?highlight=*:*"
"Self Portrait against Window (Circa 1983)","Gwen W. Hardie","https://collections.ed.ac.uk/art/record/22593?highlight=*:*"
"Untitled - Figured Drawing of Nude Woman on a Couch (1963)","Gordon Bryce","https://collections.ed.ac.uk/art/record/99329?highlight=*:*"
"Seated Female Nude (Circa 1968)","Alan T. Johnston","https://collections.ed.ac.uk/art/record/20748?highlight=*:*"
"Male Nude Leaning on a Table (verso)","Unknown","https://collections.ed.ac.uk/art/record/22650?highlight=*:*"
"Sienna Cathedral (1982)","Ann Oram","https://collections.ed.ac.uk/art/record/102660?highlight=*:*"
"Plate","Emma Gillies","https://collections.ed.ac.uk/art/record/53674?highlight=*:*"
"Virgin and Child","Unknown","https://collections.ed.ac.uk/art/record/20571?highlight=*:*"
"Unknown (1950)","Zygmunt Bukowski","https://collections.ed.ac.uk/art/record/53557?highlight=*:*"
"Portrait of Head of a Woman (1952)","Frances Walker","https://collections.ed.ac.uk/art/record/20846?highlight=*:*"
"Woman with Fish on her Head","John Bellany","https://collections.ed.ac.uk/art/record/21530?highlight=*:*"
"Portrait of a Seated Woman (1958)","Peter Standen","https://collections.ed.ac.uk/art/record/20865?highlight=*:*"
"etc (2006)","Catherine Robbie","https://collections.ed.ac.uk/art/record/99865?highlight=*:*"
"Racing Circuit (1987-1988)","Jane V Hyslop","https://collections.ed.ac.uk/art/record/21456?highlight=*:*"
"Standing Male Nude (1958)","Andrew P. W. Conkie","https://collections.ed.ac.uk/art/record/22716?highlight=*:*"
"Still Life with Jug of Flowers, Goblet and Fruit","Sir William George Gillies","https://collections.ed.ac.uk/art/record/20753?highlight=*:*"
"Unknown (1952)","Rosemary Bagshaw","https://collections.ed.ac.uk/art/record/53513?highlight=*:*"
"Seated Nude (1953)","Robert L Thompson","https://collections.ed.ac.uk/art/record/21121?highlight=*:*"
"Portrait of Woman in White Blouse (1962)","Elizabeth G. Kellar","https://collections.ed.ac.uk/art/record/22714?highlight=*:*"
"Untitled (1977)","Eve F. Thomson","https://collections.ed.ac.uk/art/record/99826?highlight=*:*"
"Unknown (1949)","Margaret Moodie","https://collections.ed.ac.uk/art/record/50492?highlight=*:*"
"Art Magazine Ads (1988-1989)","Jeff Koons","https://collections.ed.ac.uk/art/record/21365?highlight=*:*"
"Unknown (1953-1954)","Peter G. Collins","https://collections.ed.ac.uk/art/record/50540?highlight=*:*"
"Seated Female Nude (1954)","Elizabeth Blackadder","https://collections.ed.ac.uk/art/record/21409?highlight=*:*"
"Standing Male Nude Leaning on Plinth (1959)","James C. Y. Gavin","https://collections.ed.ac.uk/art/record/20876?highlight=*:*"
"Blue Waterfall","Andrew Mackenzie","https://collections.ed.ac.uk/art/record/20751?highlight=*:*"
"Commercial Street, Leith (Jan 1950)","John W. Corner","https://collections.ed.ac.uk/art/record/50515?highlight=*:*"
"Untitled (1946)","Dorothy M. Peach","https://collections.ed.ac.uk/art/record/21738?highlight=*:*"
"Standing Male Nude","John Houston","https://collections.ed.ac.uk/art/record/21047?highlight=*:*"
"Benin Head (1964-1964)","Vincent Butler","https://collections.ed.ac.uk/art/record/99224?highlight=*:*"
"","Zygmunt Bukowski","https://collections.ed.ac.uk/art/record/112513?highlight=*:*"
"Embroidered panel","Winsome Douglass","https://collections.ed.ac.uk/art/record/113834?highlight=*:*"
"Standing Male Nude (1959)","Lys Hansen","https://collections.ed.ac.uk/art/record/20955?highlight=*:*"
"Untitled (1969)","Rosemary Hamblin","https://collections.ed.ac.uk/art/record/22004?highlight=*:*"
"Riders from South Frieze of the Parthenon (1836-1837)",NA,"https://collections.ed.ac.uk/art/record/20726?highlight=*:*"
"Untitled","John Nichol","https://collections.ed.ac.uk/art/record/112448?highlight=*:*"
"Unknown (1950)","Francis Curran","https://collections.ed.ac.uk/art/record/50505?highlight=*:*"
"Unknown (Unknown)","Unknown","https://collections.ed.ac.uk/art/record/21867?highlight=*:*"
"Untitled (12 Jun 2014)","John Nelson","https://collections.ed.ac.uk/art/record/22481?highlight=*:*"
"1st State (Unknown)","Euan Gray","https://collections.ed.ac.uk/art/record/21951?highlight=*:*"
"Landscape (1961)","Robin Forrester","https://collections.ed.ac.uk/art/record/21294?highlight=*:*"
"Unknown (Circa 1890)","Unknown","https://collections.ed.ac.uk/art/record/50463?highlight=*:*"
"Unknown (1965)","Laura McPherson","https://collections.ed.ac.uk/art/record/50499?highlight=*:*"
"Unknown","Iain Holden","https://collections.ed.ac.uk/art/record/53534?highlight=*:*"
"Portrait of a Woman (1957)","Andrew McPhee","https://collections.ed.ac.uk/art/record/21064?highlight=*:*"
"Needle lace mat","Unknown","https://collections.ed.ac.uk/art/record/102712?highlight=*:*"
"Untitled (Unknown)","Unknown","https://collections.ed.ac.uk/art/record/21946?highlight=*:*"
"Ship in the Dockyard","Caroline Boyle","https://collections.ed.ac.uk/art/record/21502?highlight=*:*"
"Standing Male Nude (1939)","Heather Measham","https://collections.ed.ac.uk/art/record/21137?highlight=*:*"
"Two Seated Women and One Standing Woman (1949)","Douglas Gordon","https://collections.ed.ac.uk/art/record/21099?highlight=*:*"
"Unknown (1964)","Cameron","https://collections.ed.ac.uk/art/record/53586?highlight=*:*"
"Untitled (Sucker Darts) (2016)","James Howden","https://collections.ed.ac.uk/art/record/113746?highlight=*:*"
"Unknown (1960)","Alan M. Alexander","https://collections.ed.ac.uk/art/record/50596?highlight=*:*"
"Unknown (1949)","John Thomson","https://collections.ed.ac.uk/art/record/50483?highlight=*:*"
"Unknown","Alistair Fairweather","https://collections.ed.ac.uk/art/record/50426?highlight=*:*"
"Teacup","Emma Gillies","https://collections.ed.ac.uk/art/record/53647?highlight=*:*"
"Coupar","Unknown","https://collections.ed.ac.uk/art/record/50409?highlight=*:*"
"Face Value (2007)","Annette Kierulf","https://collections.ed.ac.uk/art/record/99902?highlight=*:*"
"Unknown","Alan M. Alexander","https://collections.ed.ac.uk/art/record/50598?highlight=*:*"
